Card 1,Card 2,Card 3,Card 4,Card 5,Hand Type
2s,Kh,3h,8h,8c,1
7c,Ah,7h,Kh,Qd,1
8h,Kd,Ks,Kh,5c,3
6c,Ah,4s,3d,5c,0
Qd,Js,4d,9d,3c,0
Ah,3c,5h,Jh,9s,0
Jd,7c,Ts,2h,9h,0
4h,2d,3h,Qh,7h,0
8c,8s,5h,Ts,6s,1
6c,9h,8s,9d,6s,2
Tc,Ks,Ah,7s,Kc,1
Jc,6c,7h,Jh,8h,1
4c,Tc,6s,Kd,9s,0
2s,3d,5h,8s,As,0
8c,Ac,Tc,8d,2c,1
2c,Js,9h,2s,8c,1
7d,4d,5h,4s,Jc,1
3h,7c,2s,Ks,8c,0
4d,Kh,As,Jh,4h,1
6s,3c,9d,Ah,2d,0
Ks,7c,Jd,Th,4d,0
Qh,Kd,5c,6c,Tc,0
9h,Js,8d,7s,Kd,4
7c,4d,Qs,7d,4c,2
Kc,Kd,5d,7c,Td,1
Th,Qs,7s,Kd,6h,0
Td,Js,8d,Jd,8h,2
Td,3c,7s,2s,4s,0
6s,8s,3d,Jc,7s,0
Kh,5h,Ah,Td,Qd,0
9c,5d,4c,8s,4d,1
Qs,9d,5s,5c,8d,1
6c,3c,9h,3d,7c,1
5s,7c,5d,3h,2c,1
Ac,Ks,4c,Ad,As,3
Td,2d,Jd,9h,3s,0
Qh,2d,7s,Jh,6h,0
6s,2s,3c,Th,7c,0
Ts,5d,2h,7h,3c,0
Ac,Jc,3h,Qs,6c,0
6c,7s,Jd,Kc,Qs,0
5c,9s,Tc,3d,2d,0
6c,Ah,2s,8d,Ac,1
3s,4s,Ts,7h,9s,0
Ah,7s,9c,8s,Qd,0
Ad,3d,Kh,8d,3h,1
9d,2s,Ks,Ah,Jc,0
6c,Ts,6h,6d,7s,3
4d,8s,6s,Ah,Ad,1
4h,9h,4s,9d,7d,2
7c,7h,Js,Jd,9h,2
Qd,7d,Th,2h,3h,0
2h,8c,Jd,Kd,7s,0
9d,6d,3s,9h,Kc,1
4d,8c,6c,8s,Jd,1
3h,7h,3s,9s,5d,1
2h,4d,9s,9d,Ks,1
Ts,8h,Kh,Qs,3c,0
8s,7d,Kh,3s,5d,0
9d,Qd,Qh,5s,Td,1
Ah,3s,7s,Tc,7d,1
8c,9h,8s,2s,5h,1
4s,4c,Ts,9c,5s,1
Jd,3d,3s,8d,As,1
3d,2c,2s,Ad,Jd,1
Tc,Ah,3c,Qh,Kd,0
6s,9d,4d,Jh,Kd,0
4d,7d,2s,Tc,Js,0
2s,8s,5h,Tc,Ad,0
6c,3d,8c,3s,Td,1
Jc,Jh,9d,Kd,6h,1
Jc,Ah,5s,Ad,8d,1
Tc,9c,7c,Jd,8h,0
5h,Kh,7s,Kd,3s,1
2c,2d,Tc,Td,8d,2
As,7c,Jd,Ks,Kc,1
9s,7c,Ah,8s,Ac,1
3h,8d,2c,Ac,Qc,0
8d,4h,6s,9d,Th,0
2s,Td,4d,7s,Th,1
2d,Jc,9c,8c,3s,0
Ks,8d,9c,5d,Kh,1
4d,As,Js,9d,8s,4
7c,3d,3s,8h,4c,1
Qh,7d,8h,6d,6c,1
Qd,4h,2s,Kd,2d,1
Qc,4h,5c,3s,Ac,0
8s,3s,Qs,4s,Ks,5
3h,6h,2c,8d,Kd,0
Kc,As,9d,7s,4s,0
5s,Th,Td,3h,4h,1
Jh,Ad,Kc,Ts,8h,0
3s,6s,5h,2s,Kc,0
Kh,5d,Tc,2s,9d,0
5d,9h,Jd,8c,5h,1
2d,7s,Ad,Js,9s,0
Jh,4s,7h,6d,5c,0
Js,5c,Qh,Ad,Ks,0
3h,5h,Ad,4h,3s,1
5h,3h,5s,2c,6s,1
Ks,Jd,6d,Qh,7h,0
6h,Kh,6c,Kd,8d,2
7h,3d,Jd,4d,Tc,0
Td,9c,2d,8d,Qh,0
9s,4h,2h,9c,Kd,1
7h,9c,Tc,Qh,Ah,0
6h,7d,5d,7s,5s,2
5h,6d,7d,9h,Ac,0
Qd,9h,2s,4s,Kc,0
6d,Jh,8h,Ad,9d,0
5s,4s,3d,4h,Qc,1
6h,5s,3h,9s,9c,1
2h,Kd,8c,6h,Ac,0
4d,9c,Qd,Qs,Js,1
Qc,Ac,7c,Ts,5c,0
7h,3d,Jd,2c,9c,0
6c,4h,Js,Tc,6h,1
4s,5d,Ad,8d,3h,0
8h,Ad,7s,Qs,5s,0
Ts,Qs,Kc,Js,Jd,1
7c,Jc,Ah,3d,Jd,1
5d,6c,Ah,4c,4d,1
7c,5s,9h,2h,4s,0
9c,7d,2d,Kc,2h,1
Ts,7d,8s,Th,6d,1
Kd,Th,Qd,Ad,4h,0
3h,4s,Ah,Ts,5d,0
2d,4d,Ts,Jc,5d,0
2d,9d,3s,Jh,2h,1
4c,Qh,8d,4h,6c,1
8d,6c,9h,Jh,5c,0
8c,Js,2h,Kc,8h,1
Js,Ad,As,Ks,Ts,1
2s,Jh,Ad,9h,6h,4
As,4c,8s,9h,5c,0
5h,Qc,4h,3c,6d,0
9c,3h,As,Qd,4s,0
9s,Qs,Js,4s,Jh,1
Td,Jh,6s,Qh,5d,0
9c,8c,2s,7h,8d,1
3d,5h,Td,9s,Qd,0
5s,9h,9s,Qh,Td,1
2d,Th,5d,Ks,9c,0
Kc,4h,As,9h,7c,0
Td,4c,Kh,7d,Js,0
2c,4h,9s,7s,5d,0
6c,8h,Jd,3d,5h,0
Qs,7d,Qd,5d,2c,1
4d,7h,5d,2d,4h,1
Th,As,8c,8s,Ah,2
Tc,5h,Jh,Kd,Ts,1
7s,Qh,Jc,3s,6d,0
6s,Jh,8d,As,2h,0
Kd,Jh,Ad,7d,Kc,1
9h,Qh,As,9s,6s,1
4s,Js,9h,3s,7s,0
4c,Kd,Jc,8c,7h,0
5c,7d,7s,8c,Jh,1
4d,6d,Qd,Ac,7h,0
Jd,5d,Jh,3s,5s,2
3h,Js,9d,Qd,Qc,1
Kc,2s,5d,4s,Td,0
5h,6d,Jh,7d,4d,0
6d,7s,Ac,8d,Ks,0
8h,7s,5s,2d,9s,0
9d,3s,Ad,5h,9s,1
4h,2s,8s,Jh,Qs,0
9c,Kh,9h,Kc,7h,2
2c,7s,4d,Jh,6s,4
8h,Ac,3s,Ah,9s,1
6c,Ac,Jc,3c,Qc,5
Jh,5c,Ts,4d,2h,0
2d,Ac,2c,5d,7c,1
Jc,Jh,6h,Kc,Ac,1
2d,Ks,7s,Qc,3d,0
Ah,Jh,Th,3d,Jc,1
7d,7c,Th,8s,Ad,1
6h,7d,8c,7h,2c,1
3s,3c,Td,Kh,Qh,1
9s,Ks,Qh,5d,Qs,1
Ah,6d,Jc,4c,5s,0
Qd,4h,Jh,3h,Js,1
Ts,9d,7s,7d,7h,3
3h,Qs,5s,As,9d,0
2s,4s,8d,Kh,5c,0
9c,7c,8c,5s,7s,1
Ac,Jh,3s,Qs,2d,0
8c,Qs,6c,Qh,6d,2
5d,Jd,Qs,Qc,2s,1
2c,Kh,6d,Tc,Th,1
5d,Ac,Kc,3h,3s,1
8d,6c,2c,3d,Qd,4
Js,9h,3s,4s,4d,1
Jh,Ac,9s,6d,Tc,0
Jd,8d,4s,8c,Jc,2
Jd,9h,Jc,Qc,9s,2
2s,2c,Ts,Qs,Jc,1
2s,3d,4s,Ks,8d,0
Qs,4c,2d,7d,5h,0
Ac,7h,5s,Kc,Qc,0
Ks,3h,5h,Ad,9d,0
Js,Qh,9s,9c,5d,1
5c,2c,7d,Kd,Jc,0
Js,8h,9d,5s,7d,0
7s,Ac,6h,8d,5d,0
6c,Th,7s,Jc,Ad,0
4h,3s,7h,8d,Th,0
3s,Ks,6s,9c,Ac,0
7c,Kh,4s,4d,4c,3
3s,Jc,4d,Kh,2d,0
7c,Jd,2d,2s,4h,1
Jd,7h,Qh,8s,Ac,0
9d,Jh,8s,Jc,4h,1
Jh,2s,9d,Js,3d,1
Ah,8d,2s,As,4h,1
5s,4c,9h,7h,7s,1
8d,Ah,Ks,7h,2d,0
Qs,9h,2h,6d,Th,0
Ad,Ac,As,2h,5d,3
9c,7d,Qs,7h,6s,1
Ks,4c,9s,6c,9d,1
8s,6c,6h,Jh,7h,1
Qs,3h,9d,6c,7s,0
8h,Ts,Kd,4h,4d,1
As,9c,2c,Jd,3s,0
Kc,Td,Jd,Qd,7c,0
2h,Qc,6s,2c,Ad,1
3s,4d,6d,Ah,8d,0
5s,Ad,Qc,8c,5h,1
3d,5c,4d,Kc,Ac,0
Kh,4d,6h,Tc,8s,0
2c,Jd,6d,9h,9d,1
3s,7s,6d,Th,7h,1
2h,Th,3c,3d,5d,1
8c,2d,2c,Kd,4s,1
Ac,Kd,Ad,9d,Jh,1
7c,6s,Tc,3d,5h,0
4s,Jc,7d,9d,Ac,0
3s,8d,Qd,3c,6s,1
8s,Td,5h,4d,Jh,0
Tc,6h,9s,9d,Js,1
5h,5c,Td,7h,Qc,1
9d,7c,4h,Jc,7s,1
Qs,Kc,Td,6d,2d,0
2d,Ts,5d,Td,Kc,1
4h,3d,Kc,Kh,6d,1
5c,6d,Js,6s,2h,1
7d,9d,3s,Kd,3c,1
Td,9h,Qc,7h,3s,0
6c,7h,8c,8d,Qh,1
5c,Ks,6c,7h,As,0
3c,Qh,4s,Js,7c,4
9h,6d,8d,2c,6c,1
Ts,6c,Ks,Js,9c,0
Js,6h,Kd,8s,4d,0
Ts,9d,5c,7c,6s,0
9d,7d,Ad,8h,5s,0
Th,6c,Jh,9c,2h,0
8s,4c,Ks,7d,5s,0
2h,9c,9s,Qs,Ks,1
Ah,Qh,3d,Tc,9c,0
5h,Qd,7h,2c,Ks,0
Qd,9s,6h,8s,7d,0
6c,8d,9c,9s,9h,3
Qs,Kd,Jd,4d,2h,0
Qc,Td,5c,Qd,2c,1
Ah,Th,Ks,Tc,2h,1
Jh,5d,5s,Ac,6s,1
Kc,Kd,Ts,Jh,5h,1
3s,8h,Qh,6d,3c,1
7d,Th,Ks,6s,6d,1
6h,Ac,Ad,Kc,4d,1
2d,9h,3d,Ts,8d,0
7h,9h,4c,3h,9c,1
8s,2h,2c,Jd,3h,1
6c,Ah,2h,8d,4h,0
9s,8d,6c,As,Qh,0
2c,2h,7s,4d,Qd,1
Qd,5s,6d,Jh,7c,0
Ks,3h,Qd,6c,5h,0
Jh,5d,Ts,4s,Jd,1
6d,9d,Qd,Kd,2h,0
6s,2h,Jh,Qc,Tc,4
5h,9d,Td,8d,7h,0
Ks,8d,Th,Kh,Jh,1
Ah,7s,Td,8h,Ad,1
7d,9s,4h,Ks,Kh,1
Ad,Ac,Jd,6s,Th,1
Kh,Td,3d,Ac,7d,0
4c,Th,Td,Kc,Jd,1
4c,5c,5h,8s,2s,1
7s,4h,6d,Qd,9c,0
7h,Ks,9h,Ts,2h,0
Jc,7d,4h,Kc,Ac,0
Jd,Js,8h,Qd,Th,1
Kh,Jd,Js,Kc,Ah,2
7h,2s,Jc,2d,Ah,1
7h,8h,3d,9h,3c,1
7h,3s,Jh,Qs,Ah,0
4d,8s,2s,7s,Ah,0
6c,2c,Ad,As,8d,1
6d,Kc,3s,Ah,Qh,0
2d,3c,Qh,5s,2h,1
3h,9c,3s,Kh,6c,1
Jc,Ad,4c,Th,Qd,0
9s,Jh,Jc,3d,4d,1
Jh,Ac,6d,Qs,Qh,1
Ks,8s,2h,3s,Qc,0
Tc,7d,Ts,4d,Jh,1
Ts,5c,7c,3d,4d,0
7h,Ah,4d,5s,8h,0
7h,3h,Th,Kc,Jh,4
2h,Kh,5h,Ah,6c,4
2s,Kh,8d,Jc,Qs,0
3s,Kc,Th,5h,7h,4
Th,4h,5s,Jd,2d,0
9c,5h,Kh,Qs,Ks,1
6s,Ad,Js,6c,8d,1
7s,2c,7d,4h,Jh,1
3s,As,5s,6h,6c,1
Js,7h,9s,5s,9h,1
3h,6c,4h,9d,7d,4
5s,2s,Qd,Kh,7s,0
4s,Ah,4d,7h,3d,1
Ks,7d,7h,Kh,7s,6
Js,4c,3c,8h,2h,0
3d,Kd,4d,6c,3s,1
3s,Kc,9d,7d,Ks,1
3d,2d,7h,Qd,9d,0
4c,Kh,4d,6d,3s,1
Jd,2h,7c,Kc,3d,0
7d,6h,Tc,3h,Qc,0
7d,5d,2c,Kh,7h,1
3s,5c,Jh,5s,Qc,1
3d,4d,Qc,4h,Jh,1
5h,7d,Qh,5c,2h,1
As,4c,8h,Kc,9h,0
5c,8s,Ts,3d,6d,0
Jh,5c,9s,3c,8d,0
6c,Ts,Td,Ad,3d,1
9c,9d,4h,6s,Ac,1
8d,6c,8s,3s,Tc,1
3h,6c,Js,8c,6d,1
8s,7c,Js,Kd,5d,0
6c,4h,Ah,Jh,5s,0
Qd,3d,3h,6d,Js,1
Ah,3h,As,2h,9c,1
Th,8c,8s,5c,3c,1
3d,5s,7d,Ks,2s,0
6s,Jh,Kd,5s,4c,0
6s,Jd,4h,Ts,Tc,1
8d,3s,Kc,8c,5s,1
Qh,4h,7h,Jh,Kc,0
2d,5c,6d,Jd,2s,1
Qh,4d,Qd,Ah,5c,1
9d,Tc,Ac,8h,4c,0
3s,Th,Ac,Jh,5s,0
Kc,2d,2s,5d,As,1
6d,7h,3c,5s,5c,1
Ac,2s,9c,2d,Tc,1
Ah,3h,2s,8s,9h,0
8d,5d,4c,7d,9h,0
Ac,4s,Jd,7h,6c,0
4s,8h,8d,Qs,Kd,1
2c,Kd,6h,8h,5h,0
5d,As,Tc,Kc,Ad,1
Th,Qh,9c,Kh,Ks,1
As,9s,4c,2d,Ks,0
3d,Jh,Kd,5c,9s,0
7d,Js,6s,2d,Tc,0
7s,2s,Ad,5d,8s,0
5c,5h,Jh,Jd,Qh,2
8h,2s,Ks,9h,2d,1
Kd,4c,5c,Td,7d,0
5d,7d,As,3c,Qd,0
8d,4s,Kc,8s,Qh,1
5d,Qd,Ts,Th,Ah,1
Qd,Jc,Qh,As,9d,1
As,8s,8d,6s,2d,1
7d,8d,6c,Jd,Qc,0
8d,7d,Kd,8s,3d,1
Kh,4s,5c,4h,2c,1
Ac,Ad,6d,Qd,8d,1
7s,6d,As,6h,Jc,1
9s,Qs,Ad,Ac,4d,1
Kh,6c,Td,8c,3c,0
7s,2h,3h,Qh,Qs,1
Qh,7c,2s,2h,8d,1
Ad,Qc,4s,Th,3h,0
5d,2d,8c,Td,5s,1
Ts,9s,Qc,Qh,6s,1
Qd,2s,6h,9s,7s,0
9d,4c,Tc,5s,9s,1
Qh,Ac,Jd,Tc,Ah,1
Td,Jd,Ac,8h,9d,0
Tc,5d,6s,Ks,2d,0
4s,Ks,8s,4h,Jh,1
Jc,Ah,9h,Qc,Ad,1
8d,6s,4s,3h,8h,1
8d,5d,Ah,Tc,8s,1
Jd,2h,Ac,2s,8h,1
9h,Ad,3s,7h,5h,0
7c,9h,3c,8d,Js,4
7c,2s,Qh,9h,Ac,0
9s,Jc,9h,4h,8h,1
4c,Kc,9h,8d,Qd,0
Ks,3h,9d,4h,6s,0
9d,Qh,4c,3d,3c,1
5s,Qd,8c,4s,2s,0
As,Th,Jh,Ts,7h,1
Qh,8d,6h,4d,2d,0
Ks,5d,Jh,5s,4h,1
8h,4s,Qh,Js,Jh,1
8s,2d,3c,2h,5s,1
4c,2c,9s,Ks,Js,0
4s,2s,Qh,Js,5d,0
6h,7c,Qc,Ts,Ad,0
4c,9d,Ah,7d,6d,0
Ts,3d,6h,5c,7c,0
Js,Ac,As,Ts,Kc,1
Kc,Ad,Td,4d,Ks,1
4h,8d,Ks,8s,Jd,1
6d,4h,6s,Js,3s,1
8c,9d,Jc,7h,Js,1
Kd,8d,5h,3s,4s,0
Td,8s,Qs,3d,Th,1
3d,3h,7s,Ad,4c,1
Ts,2h,7h,8c,Kh,0
Ah,2s,5c,Js,4h,0
Kh,7c,5c,4c,2c,0
7s,As,7h,Js,9c,1
6c,Ks,Js,Kc,5s,1
2d,8h,Js,5d,6c,4
6s,4c,As,Qh,2h,0
2c,Ts,4s,Qd,Td,1
Ad,6h,9h,4s,Ah,1
Jd,4s,2h,6s,5h,0
4h,9d,7d,9c,Qh,1
3d,Jh,5s,Qd,Th,0
Js,Jh,4s,2d,9s,1
Td,Tc,Ad,8c,8s,2
3s,As,8d,Th,Js,0
Kh,Td,4d,4c,8c,1
Ad,2s,5h,Jh,Jd,1
5d,9d,Qc,7h,5h,1
3s,3h,7c,Ah,7d,2
Qs,3s,9s,2d,9d,1
4d,Jd,8d,Kh,3c,0
Th,9h,As,4c,Qc,0
6s,Kh,Th,2d,9s,0
3s,Js,5c,3d,Kd,1
7h,4h,2h,3c,Ac,0
9s,Ah,8s,Ts,Jc,0
6d,8h,Ah,4s,2c,0
Th,2h,Ah,Qh,Ac,1
5c,Ah,9s,As,7h,1
2h,5h,2s,6s,5s,2
Ts,Jc,Kh,Ad,8h,0
Js,3c,5s,Kc,2c,0
5c,2h,5h,9d,Qd,1
Td,7c,Tc,9c,3h,1
Ah,Ts,5c,6h,Td,1
Th,7s,Qh,As,9s,0
4c,Jh,Ah,3s,Kc,0
8s,3s,5h,8d,Kd,1
8c,Js,Jc,Jh,Qd,3
Qd,Jc,9c,3c,3d,1
8d,4c,3h,Jc,6s,0
9c,2s,Qs,Js,7h,0
Qh,Kd,7d,Ts,9s,0
4h,7c,Kc,Jd,Ks,1
9s,Js,7c,4c,Jc,1
2s,6c,Ac,7s,3s,0
7h,9c,3s,6c,Tc,0
3h,7s,4c,5s,5c,1
7s,9h,6h,7h,7c,3
6s,4d,Qc,7c,Ks,0
Kh,2d,8s,7s,2h,1
Kh,Qd,Ad,As,7s,1
Th,2h,2d,7s,Jh,1
3h,5d,5h,3c,2s,2
2d,6c,3c,Th,Jh,0
8d,7c,7s,Th,As,1
6c,9c,5d,Kd,3s,0
2h,Qs,Jh,9c,7h,0
7d,8c,Ah,Kh,8s,1
Qs,Qh,2c,3c,5s,1
5s,Jh,Jd,2d,7d,1
5s,8s,Jc,Ts,2s,0
Ac,9c,6s,8c,Kc,0
Kh,Kc,4d,9h,3h,1
7s,2c,5d,9h,Kh,0
5c,4h,3h,Ts,3c,1
4c,7s,Jh,2s,5c,0
Jc,3s,Kh,9c,Jh,1
Tc,Td,3s,4c,Qc,1
7d,6s,6d,3c,Ac,1
7d,Qh,9h,As,5h,0
Qc,7s,8h,4c,7d,1
7d,Th,9h,Qh,Tc,1
Tc,4s,Td,8c,6h,1
Qs,3s,9s,Js,5s,5
Th,Ts,9d,4c,3s,1
Qh,Tc,9d,3s,2h,0
Ac,6c,2s,7h,Qd,0
Kh,2h,4c,Ad,9c,0
6d,9h,3d,3s,4d,1
2d,5s,9h,4c,Qd,0
7s,6c,8d,2s,3d,0
5s,Qd,Ts,Tc,8s,1
7s,Kh,8c,Qc,Ts,0
8h,6h,Jc,4s,8d,1
7s,Td,As,9d,Ts,1
6h,4c,Kh,Th,Ad,0
Qc,7s,8c,5d,3h,0
4h,3h,3d,Td,Jh,1
Qd,Jc,9s,8c,6c,0
Th,Kh,4s,Jc,Qh,0
5h,4h,7c,2d,As,0
Ac,5c,8c,7d,Qd,0
Qs,6d,2s,Qc,Td,1
Jh,Ts,Ks,3d,5c,0
Tc,8h,Ks,2d,Kd,1
3d,Jd,Qc,7c,8h,0
9d,Kc,7s,Jd,6h,0
Ts,2s,9s,2d,9c,2
8h,2h,Qs,8s,5h,1
Tc,5c,5h,5d,Ks,3
As,Ts,7h,4h,5d,0
9d,Jh,Kd,5s,Ks,1
8h,As,Kd,8s,6h,1
Jh,Qd,Kh,9c,Qc,1
Ts,9h,8s,Js,Ac,4
8s,4c,Qd,Ts,Th,1
7s,4d,9h,Kh,As,0
3h,Th,4s,Kc,7d,4
Jd,5h,Ad,Ah,7c,1
5h,6s,7s,Ks,Ad,0
9s,Td,7c,Ah,3h,0
Ah,Ks,6d,Kc,3c,1
6d,Kh,8s,6s,6c,3
Ad,7s,9c,Qd,Qc,1
Ks,3d,Ts,Td,2c,1
6h,3h,4c,Qc,Qs,1
4d,9c,Ks,6s,4h,1
Ks,Qs,Js,7h,7d,1
Tc,7s,8d,5s,8s,1
5d,2h,5s,2d,Td,2
8h,6c,As,Qd,Qc,1
8h,6d,5h,7h,Qc,4
Kd,Ks,2s,6d,3d,1
8s,5d,Jh,As,2c,0
2h,5h,5c,6s,Ah,1
7h,2d,Ts,3d,Qs,0
8d,2h,Kd,Qd,5d,0
5c,Kc,6c,6d,Jh,1
2d,7c,7h,Tc,As,1
6h,6c,8h,Jc,Ts,1
Tc,Qd,Ad,8s,4d,0
3c,Ah,2s,6c,6s,1
7d,3s,Qd,2d,4h,0
As,4d,Qd,Kd,Kh,1
4c,6c,6s,7s,Qs,1
7d,5h,Th,Jh,4s,0
2h,As,4h,8d,Js,0
4h,3c,Jc,6h,Kc,0
2h,9s,Jd,Kh,4h,0
2h,6s,8h,Jc,Ts,0
6c,7s,8h,Qd,9s,0
2d,Jc,Ts,Tc,7c,1
Kc,2c,Qd,Td,3c,0
6d,4h,3d,As,3c,1
Jc,7h,9d,Qd,Jh,1
3c,2s,Ac,7s,5h,0
Qd,4h,Js,8d,9c,0
7s,6s,4h,9h,Js,4
Jh,Ad,3d,Kd,9c,0
6c,Ad,7c,9s,Qd,0
Kc,Kh,6c,Jh,Qs,1
3h,Kh,5c,Kd,4d,1
9c,8s,Qs,Td,6s,0
2h,Js,Tc,6c,Ac,0
2h,9h,As,6c,Ks,0
3c,3h,Qs,6c,Jc,1
Js,9s,Kd,6s,2c,0
Th,5s,Ad,Jh,7h,0
5h,6c,3s,2d,7c,0
3d,4s,9d,6d,Ah,0
Ac,5s,8h,6d,Jc,0
5s,5h,4c,9h,4s,2
9s,9d,7h,Ad,2s,1
Jc,As,Ks,Qc,5s,0
6c,Ad,Ts,9c,4d,0
9d,8d,5c,Jd,5h,1
4s,2h,Td,6c,6s,1
3s,Qs,9s,5d,9d,1
3h,Qc,8h,8c,8d,3
8h,3d,Kc,Qh,5c,0
Td,3c,Qh,Ah,5h,0
Qd,5c,4s,2d,6h,0
8c,Ah,As,3h,2s,1
5c,4d,3h,2c,Jd,0
Jd,Qh,Jh,6h,7d,1
8c,3h,2d,6d,7h,0
8c,Qd,3h,9h,Tc,0
5d,9s,7d,Td,Th,1
Kd,9h,Ts,Kc,Kh,3
9s,Tc,4s,Qc,Ac,0
Kc,3h,7h,4c,Kd,1
8c,5h,Ks,Jh,Ad,0
8s,8c,2d,3d,Ad,1
4c,6c,5s,7c,Js,0
Qs,9c,2d,Ts,7h,0
5h,Td,8c,Ah,6c,0
4h,2h,As,4c,Jd,1
2c,4c,Qh,2h,Jc,1
9h,8s,Qd,5h,Ah,4
Ks,Jh,Tc,Ah,4h,0
6c,5s,3h,Jd,Kh,0
Ac,Jh,Kd,Jd,9c,1
Jd,Th,Td,Kd,8d,1
Qs,Qh,6s,Jc,7d,1
4c,3d,5s,Qd,Tc,0
Ac,2d,3c,3s,Kc,1
9c,Kd,7s,Tc,3c,0
9s,Js,Qd,9h,7h,1
3d,5s,Qh,2h,6c,0
6d,Kd,3h,Td,Jc,0
Kh,5s,6d,9c,Th,0
Ac,9s,5c,Ad,Ah,3
Td,6c,Ks,2d,Qd,0
Ac,8c,9h,3s,Jh,0
5s,4c,Qh,3s,7h,0
5d,Ah,3h,Jh,Jc,1
2c,5c,Kh,Th,2d,1
9h,3s,4d,5s,3d,1
3d,3h,5h,Ac,2d,1
Js,6d,3c,Qd,4d,0
Tc,9c,Qd,5h,Ah,4
Kh,Qd,8c,Ts,4h,0
Js,6c,6d,2s,4s,1
8s,Kc,Jh,Ah,6c,0
4c,3s,7c,2s,Jd,0
3h,2h,Kh,5h,7d,4
5h,8h,Jd,Qc,Qh,1
Qs,5h,9s,2h,Ts,0
7h,Qd,Ah,Qh,As,2
Qc,Kd,Ad,4c,7h,0
7c,5c,Qh,2d,8h,0
Qc,3c,Qs,Ts,4c,1
8c,Qd,Ks,9d,Qs,1
6s,7c,Ac,9h,Jh,0
3d,7s,9d,6h,7d,1
Qs,5s,Jc,Ad,Kh,0
6c,7s,5c,8c,Qc,0
8s,9d,4s,7d,4h,1
9d,2h,Js,6c,Td,0
Tc,Ac,6h,4s,4c,1
3s,4c,Jc,8h,Qc,0
5h,7h,3d,Jc,2c,0
7h,Ah,Jh,6d,9d,0
3d,Ad,Jc,4s,4c,1
4s,4c,7c,Ks,4h,3
5s,Jc,Jh,2c,8h,1
4c,4h,2c,3c,Kh,1
Ts,3h,8d,Jc,Js,1
8h,Ac,6h,4h,4d,1
6s,Qh,6d,Jh,2d,1
5d,Jc,3s,3d,8c,1
5h,9c,9s,5s,Kh,2
4s,Js,4h,3s,Kh,1
8d,4s,5d,Ad,7s,0
Qc,As,6c,6d,Qd,2
5c,Qh,5s,3d,6c,1
5c,7d,3h,9c,Qs,0
2d,7s,3h,6s,6h,1
Ks,3h,As,2h,5c,0
2c,Jc,Ad,Qd,6h,4
Kd,Ks,6c,4s,6s,2
As,2s,Kd,6d,8h,0
5h,8s,Jc,4c,Qc,0
6d,As,8c,6c,5s,1
9s,4d,As,3c,3d,1
2h,5s,Ad,9d,Jh,0
7h,3h,6s,8d,Ks,0
Qc,8d,Td,Js,Ad,0
Qc,4c,9s,Qh,4h,2
Jd,8d,9h,6d,Kh,0
6s,Jd,2h,Js,Ts,1
9s,Qh,4d,6d,5c,0
4s,Kc,Ts,3d,4d,1
3d,6c,3h,Jc,5c,1
4c,7h,9c,Kh,Kc,1
5c,Ks,3d,Qd,Ac,0
8s,5d,9h,3c,Qh,4
5c,2c,7d,Td,7c,1
3h,3s,As,Js,5c,1
Js,Kc,5h,Qc,2c,0
8s,4s,3c,7h,Ks,0
Ah,Th,Ks,3h,Qh,0
4c,Jh,Ah,Jd,6c,1
5c,9c,8d,Jh,Ts,0
6d,Ac,7d,7c,Kd,1
4c,4h,9d,Ah,Qc,1
8d,4c,6h,9c,5d,0
6c,8d,Td,Ac,8s,1
Ac,Jh,6d,6c,Qc,1
4s,As,Kc,8h,4c,1
Js,9c,5d,Kh,Kd,1
9s,Kh,Jh,6c,Ks,1
2d,Kh,9h,6s,8d,0
4s,Ah,6d,Qc,5s,0
Qs,4s,4h,2h,6d,1
6c,3c,7h,Td,3s,1
5h,Th,7s,3h,2c,0
9d,9c,2c,5c,4s,1
6h,8h,6d,Ks,3d,1
Qs,Tc,7d,Ad,8c,0
Kh,9h,Jh,3c,Ac,0
6h,As,Qs,3h,Qd,1
4c,Js,Jc,2h,4s,2
7s,Qs,Ts,2s,4d,0
Ac,8d,4s,3s,3d,1
Jc,5d,Qs,2s,7c,0
Kc,Th,2s,9h,4h,0
9h,2h,Ac,Qc,4s,0
Kh,Ts,As,4c,3s,0
Qc,Js,9d,4c,Qh,1
Ks,Kh,9h,3d,4d,1
2c,5h,9h,3d,Tc,0
4s,8c,5c,Kd,Ac,0
3c,As,6s,3s,6h,2
3h,Jc,2d,4s,4d,1
5h,Qs,Ts,7c,6s,0
9d,3d,9s,8s,2d,1
As,Jd,Th,9d,9s,1
Ac,2h,8c,Tc,6d,0
Ts,Qs,7c,4h,4d,1
Ks,Jd,6d,Qd,Td,0
5h,3h,Ac,Jc,Qs,0
9h,Qh,Tc,Kh,Ac,0
5c,3s,Qh,4s,Ts,0
5d,Tc,Js,9c,Jd,1
8d,9s,Jd,8s,As,1
5h,9s,Jh,7s,Jc,1
7d,3c,Th,3s,Jc,1
Tc,8s,3d,Qc,8d,1
6d,Ac,Ah,4c,3h,1
8d,3s,Js,8c,Kh,1
5s,7s,4c,7h,9h,1
7h,2h,8s,Kc,6s,0
2h,Qc,5h,3h,8h,0
Qh,As,3s,9h,9d,1
4d,Th,3h,7c,6h,0
8d,3h,6s,4c,4h,1
6s,2c,5h,2s,Kd,1
